inegi,av_precipt_2021,log_pop_mx,pop_density_mx,pct_religious_mx,pct_urban_mx,pct_catholic_mx,pct_indiglang_mx,pct_healthins_mx,pct_healthins_informal_mx,pct_tertiaryemp_mx,pct_informal_mx,pct_over65_mx,pct_extreme_poverty_mx,social_backwardness_mx,gini_mx,tuberc_cases_rate,influenza_cases_rate,elxn_soon_mx,irag_rate_mun,inf_rate_mun,pct_obesity_lq,pct_obesity_hq,pct_hypertension_lq,pct_hypertension_hq,pct_diabetes_lq,pct_diabetes_hq,gdp_percapita_municipal_2020,health_capacity_mx_mun,healthcare_expenditure_19,healthcare_expenditure_20,avg_homicide_rate,hospBeds_rate_mun,infant_mort_mun,leader_experience_mun_mx,medical_staff_rate,nurses_rate_mun,state_capacity,elxn_margin_mx,party_mis_fed_mun_mx,party_mis_state_mun_mx,party_exec_right_mun_mx,women_exec_mun_mx,women_leg_mun_mx
01001,41.910363736509375,13.759475512909273,810.6473215483545,94.68473947991411,95.08730493982851,88.26328757641643,0.23123131786317408,70.94814839884675,84.08111635462916,32.35558526334047,25.644589251083573,6.710692475774876,1.9740809501,-1.31532,0.392368,0.8430015068651935,0.31612556507444756,0,0.8430015068651935,1.2645022602977902,31.486540869542733,31.486540869542733,14.94224242536272,14.94224242536272,7.495860721276037,7.495860721276037,9.98,4.019012042229241,2.87,11.57,5.16338422954931,0.8082276947070043,9.41,138,0.9744257998455668,1.686546708705678,329,1.87,0,0,1,1,43.75
01002,34.890464636319805,10.84883210480102,94.73028669060474,97.80899488184689,41.851473817698185,94.64227376674287,0.02692905230450543,36.38730232738858,88.50293351983525,12.281928740723473,54.974998595426705,6.651901931071998,4.1428057437,-0.857301,0.36985,0,1.9403911828624651,0,0,0,32.28228424466143,32.28228424466143,15.320424996440655,15.320424996440655,7.953634055224973,7.953634055224973,6.62,9.713641838598129,NA,NA,4.268860602297424,0,480.95,138,0.5362036779600429,0.8738134011200699,108,24.52,0,1,0,0,55.56
01003,47.312759952404754,10.97086713877314,62.98208340005595,97.217840785998,57.33164045293188,95.357366830733,0.14176920700121776,20.66374344424383,85.19817728484223,16.182615424297136,71.20739921584396,9.901126300404092,4.4989728941,-0.918554,0.375097,1.7167381974248928,1.7167381974248928,0,0,3.4334763948497855,40.00429343772855,40.00429343772855,13.751906441825415,13.751906441825415,9.17262388925593,9.17262388925593,3.76,10.317255610007738,0.13,10.83,5.493562231759657,0.5150214592274678,10.79,138,2.2764659942506773,3.2568418603878304,284,10.07,0,0,1,0,55.56
01004,35.01298091886565,9.740792136877351,132.39235652728956,97.1678275726114,55.12423816221285,92.3511630963333,0.05639451093426907,49.0439489321645,85.91516149908807,12.366888274401363,40.42587001430161,6.0951932694004824,3.3771181213,-1.004023,0.369516,5.882352941176471,0,0,0,0,32.596449648122636,32.596449648122636,16.43149302616921,16.43149302616921,7.383116472450958,7.383116472450958,9.93,11.766782373360003,72.63,NA,4.705882352941177,0,500,138,0.6560897053560778,1.1332458547059523,63,10.82,0,1,0,0,57.14
01005,40.76544364634901,11.77420452543218,259.7725046538908,94.61060491122798,73.22571832424664,89.69852458597207,0.16728685206946078,66.53447200425077,83.2425938902964,27.68233237588461,28.97262158629704,5.692327832495245,3.2854005406,-1.173361,0.401768,0,0.7696511171485966,0,0.7696511171485966,0,34.73171538468336,34.73171538468336,12.356755466214269,12.356755466214269,6.745818679991173,6.745818679991173,7.7,3.85032997327871,0.86,NA,4.771836926321299,1.1544766757228948,55.12,138,0.20338717878515272,0.320725935776587,462,9.99,0,0,1,0,66.67
01006,35.97350741474786,10.769684270598214,242.9650805485803,95.93704160748796,74.63074749550475,91.07546159398356,0.1024658632748981,57.896839581975314,83.3441974893286,21.70868641840318,36.77277716794731,7.06100048363017,2.8751266331,-1.168755,0.388607,0,2.09881207236704,0,0,4.19762414473408,24.057538149950084,24.057538149950084,12.840819228947888,12.840819228947888,7.382441375366413,7.382441375366413,10.25,8.410959480202704,1.01,7.31,3.358099315787264,0.6296436217101121,8.33,138,2.0210594393581114,4.042118878716223,127,19.52,0,1,0,0,55.56
01007,33.94703485398915,10.955514744086512,153.82687092129956,96.99715602628224,73.20609182782985,92.32715504560164,0.28045770697778777,43.04422986257836,82.86332920078927,20.6237231311879,49.18679998283483,6.204054549581798,5.5632684118,-1.065487,0.396452,0,0,0,0,8.715508375603548,31.74328816356314,31.74328816356314,14.33667404022898,14.33667404022898,6.895364594781293,6.895364594781293,8.24,8.730726920323386,NA,0.02,3.4862033502414196,0.5229305025362129,7.65,138,1.813141791174881,4.184173364249726,166,11.11,0,1,0,0,66.67
01008,40.89328756493827,9.164505835632385,11.135585172933103,98.60602480803308,44.70209884901828,95.42823390431188,0.2706359945872801,21.82788944723618,90.05443886097152,15.159128978224455,65.70080862533693,6.407035175879397,2.3220399429,-0.956906,0.418444,0,0,0,0,0,31.3042415442112,31.3042415442112,14.919707852003144,14.919707852003144,6.161850888449476,6.161850888449476,5.39,20.938023450586265,NA,1.07,0,0,0,138,1.2564129410532927,1.4658150978955082,132,3.56,0,0,1,1,42.86
01009,34.12108186020729,10.019535750898797,97.80066619564012,98.63726461843407,41.39065891744276,94.2368681863231,0.10386176942687188,36.75259338408797,87.77881661546681,12.011931792885443,52.32231294338108,6.887493878277903,3.1497610207,-0.900102,0.371151,0,0,0,0,0,31.953581052365003,31.953581052365003,14.694738844636548,14.694738844636548,7.242454178043286,7.242454178043286,7.21,13.356484573260316,NA,1.23,3.5579275072270407,0,333.33,138,0.5786006765177141,0.8456471426028129,115,1.33,0,1,0,0,57.14
01010,38.87135327524609,9.92240743738864,40.43638531622912,98.59807925819626,22.880037342461492,95.36372668064908,0.06320113762047717,41.37964870964576,82.70532823079188,12.672946717692083,49.10981341689218,6.800117750956726,4.8119017708,-0.829259,0.370387,0,0,0,0,0,35.057078571741044,35.057078571741044,16.55212130102922,16.55212130102922,7.6496996266396176,7.6496996266396176,5.4,9.812579727210284,NA,NA,6.71366230278617,0,541.67,138,0.8291110087517273,0.7369875633348687,107,9.34,0,1,0,0,42.86
